Fighters Name,Weight (lbs),Height (cm),Reach (cm),SLpM,Str.Acc,SApM,Str.Def,Td.Avg,Td.Acc,Td.Def,Avg.Sub,W.KO,W.Sub,W.Dec,L.Sub,L.Dec,L.KO,KD.Ratio,Str.Stand,Str.Clinch,Str.Ground,Str.Head,Str.Body,Str.Leg,Avg.Fight Time,Type
Junior Dos Santos ,238,193,195,4.76,0.48,3.09,0.59,0.33,0.56,0.8,0.07,0.71,0.05,0.24,0.14,0.14,0.72,0.94,0.84,0.09,0.07,0.62,0.34,0.04,11:44:00,Striker
Dustin Poirier ,155,175,182,5.59,0.5,3.69,0.56,1.75,0.41,0.69,1.32,0.52,0.24,0.24,0.34,0.33,0.33,0.8,0.72,0.18,0.1,0.78,0.1,0.12,08:55:00,Striker
Mauricio Rua ,205,185,193,3.51,0.52,4.13,0.55,1.74,0.43,0.46,0.29,0.81,0.04,0.15,0.27,0.27,0.46,1.01,0.66,0.17,0.17,0.62,0.15,0.22,10:54:00,Striker
Donald Cerrone ,155,185,185,4.35,0.47,4.18,0.54,1.22,0.36,0.73,1.29,0.28,0.47,0.25,0.07,0.43,0.5,0.9,0.82,0.1,0.08,0.51,0.24,0.25,09:57:00,MMA
Jeremy Stephens ,145,175,180,3.09,0.4,2.98,0.58,1.18,0.38,0.65,0.39,0.71,0.1,0.19,0.18,0.7,0.12,0.71,0.71,0.1,0.18,0.6,0.18,0.23,11:54:00,Striker
Rafael Dos Anjos ,170,172,177,3.47,0.46,3.18,0.58,1.82,0.39,0.58,0.63,0.17,0.34,0.48,0,0.77,0.23,0.19,0.68,0.18,0.14,0.56,0.23,0.21,13:54:00,Grappler
Nate Diaz ,170,182,193,4.57,0.45,3.82,0.53,1.16,0.3,0.42,1.43,0.24,0.57,0.19,0.08,0.75,0.17,0.18,0.67,0.24,0.09,0.75,0.16,0.09,11:12:00,MMA
Kevin Holland ,185,190,205,4.11,0.64,3.45,0.6,2.04,0.67,0.5,1.7,0.44,0.38,0.19,0.4,0.6,0,0,0.67,0.07,0.26,0.62,0.24,0.14,14:42:00,MMA
Paulo Costa ,185,185,182,8.83,0.59,5.79,0.51,0,0,0.82,0.1,0.84,0.08,0.08,0,0,0,2.1,0.75,0.14,0.11,0.56,0.41,0.03,05:21:00,Striker
Gunnar Nelson,170,180,182,1.76,0.58,3.51,0.49,1.95,0.6,0.67,1.04,0.24,0.71,0.05,0,0.8,0.2,0.13,0.58,0.09,0.33,0.78,0.15,0.07,09:38:00,Grappler
Justin Gaethje,155,180,177,8.5,0.55,10.23,0.54,0,0,0.8,0,0.85,0.05,0.1,0,0,1,0.69,0.81,0.18,0.01,0.55,0.1,0.35,08:39:00,Striker
Shane Burgos ,145,180,190,7.06,0.48,6.14,0.62,0.43,1,0.94,0.22,0.33,0.42,0.25,0,0,1,1.08,0.86,0.08,0.06,0.7,0.15,0.15,08:52:48,MMA
Alexander Volkov ,250,200,203,6.28,0.6,3.35,0.57,1.2,0.75,0.75,0.2,0.67,0.1,0.23,0.29,0.43,0.28,0.4,0.79,0.12,0.09,0.66,0.2,0.14,14:09:36,Striker
Tatiana Suarez ,115,165,167,4.82,0.66,1.45,0.49,6.47,0.62,1,0.59,0.25,0.5,0.25,0,0,0,0,0.25,0.07,0.68,0.63,0.21,0.16,02:52:48,Grappler
Islam Makhachev ,155,177,177,2.24,0.61,0.82,0.65,4.33,0.87,1,1.33,0.18,0.41,0.41,0,0,1,0.33,0.44,0.09,0.47,0.78,0.2,0.02,07:26:24,Grappler
Demian Maia ,170,185,182,1.82,0.44,2.01,0.64,2.49,0.26,0.62,1.03,0.1,0.52,0.38,0,0.8,0.2,0.04,0.49,0.12,0.39,0.1,0.38,0.52,09:21:36,Grappler
Todd Duffee,260,190,198,5.56,0.36,2.66,0.6,0,0,0.9,0,1,0,0,0,0,1,2.72,0.82,0.13,0.05,0.84,0.14,0.02,04:19:12,Striker
Misha Cirkunov ,205,190,195,4.18,0.53,2.89,0.62,4.42,0.58,0.71,2.41,0.33,0.53,0.14,0.4,0,0.6,0,0.58,0.27,0.15,0.72,0.23,0.05,02:09:36,Grappler
Megan Anderson ,145,182,182,1.81,0.43,3.12,0.35,0,0,0.5,0.6,0.5,0.3,0.2,0.5,0.5,0,0,0.76,0.24,0,0.59,0.41,0,00:14:24,Striker
Kamaru Usman ,170,182,193,4.2,0.54,1.6,0.58,3.96,0.51,1,0.19,0.4,0.07,0.53,1,0,0,0.28,0.41,0.22,0.37,0.61,0.28,0.1,13:12:00,Grappler
Valentina Shevchenko ,125,165,167,3.06,0.51,2.12,0.63,2.09,0.55,0.78,0.36,0.28,0.39,0.33,0,0.67,0.33,0.09,0.63,0.1,0.27,0.6,0.13,0.27,07:40:48,Striker
Jose Aldo ,135,170,177,3.47,0.44,3.18,0.65,0.64,0.65,0.92,0.15,0.61,0.04,0.35,0.17,0.33,0.5,0.44,0.84,0.04,0.12,0.7,0.15,0.15,03:21:36,Striker
Leon Edwards ,170,187,187,2.35,0.49,1.86,0.56,1.33,0.32,0.68,0.47,0.35,0.18,0.47,0,1,0,0.38,0.63,0.18,0.19,0.64,0.23,0.12,05:31:12,Striker
Diego Sanchez ,170,177,182,2.7,0.38,3.1,0.57,1.41,0.22,0.46,0.71,0.33,0.2,0.47,0,0.67,0.33,0.24,0.57,0.11,0.32,0.7,0.24,0.08,04:48:00,Striker
Jim Miller,155,172,180,2.83,0.41,3.02,0.59,1.69,0.42,0.47,1.87,0.13,0.55,0.32,0.21,0.64,0.15,0.13,0.68,0.17,0.15,0.59,0.21,0.2,12:57:36,Grappler
Clay Guida,155,170,177,2.54,0.33,2.85,0.65,3,0.37,0.7,0.66,0.2,0.37,0.43,0.53,0.37,0.09,0.28,0.57,0.15,0.28,0.63,0.15,0.23,08:09:36,MMA
Colby Convington ,170,180,182,3.9,0.38,2.35,0.57,5.69,0.52,0.78,0.2,0.2,0.27,0.53,0.5,0,0.5,0.1,0.75,0.13,0.12,0.68,0.13,0.19,12:57:36,Grappler
Corey Anderson ,205,190,200,4.43,0.46,2.22,0.59,4.89,0.5,0.83,0,0.36,0,0.64,0,0.2,0.8,0.09,0.59,0.16,0.25,0.78,0.15,0.08,12:14:24,Grappler
Charles Oliveria ,155,177,187,3.18,0.5,3.01,0.54,2.8,0.43,0.59,2.8,0.29,0.64,0.07,0.37,0.13,0.5,0.28,0.58,0.23,0.19,0.55,0.28,0.17,10:04:48,Grappler
